epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;281172896.0;12371.8408203125;281172896.0;-1.2138357162475586;393460512.0;14220.763671875;393460512.0;-1.0465811491012573
1;264261904.0;11733.8515625;264261904.0;-1.0390022993087769;272785984.0;10275.5693359375;272785984.0;-0.4188937544822693
2;157606704.0;8507.3623046875;157606704.0;-0.10890868306159973;177485600.0;12065.298828125;177485600.0;0.0768103078007698
3;129163080.0;9939.689453125;129163088.0;0.06175708770751953;152002528.0;7597.93310546875;152002528.0;0.20936034619808197
4;101064376.0;6367.2568359375;101064376.0;0.1756329983472824;174750032.0;7903.453125;174750032.0;0.09103938192129135
5;99565392.0;5993.48291015625;99565392.0;0.2649169862270355;84109456.0;5948.2412109375;84109456.0;0.5625055432319641
6;55029032.0;5952.869140625;55029032.0;0.5570738911628723;92908144.0;8208.99609375;92908144.0;0.5167391896247864
7;65716012.0;6834.92236328125;65716012.0;0.5196889638900757;64699040.0;5189.05810546875;64699040.0;0.6634685397148132
8;46213068.0;4410.7236328125;46213068.0;0.629127562046051;90121248.0;5625.236328125;90121248.0;0.5312352180480957
9;60739564.0;4962.89501953125;60739564.0;0.5154198408126831;69647160.0;4990.70654296875;69647160.0;0.6377310156822205
10;44809660.0;3995.147216796875;44809656.0;0.6593570709228516;75692520.0;5862.12158203125;75692520.0;0.6062860488891602
11;56220356.0;4834.0263671875;56220356.0;0.5897666215896606;64291052.0;5269.10888671875;64291052.0;0.6655907034873962
12;47343052.0;4216.1298828125;47343052.0;0.641562819480896;68202120.0;4835.2001953125;68202120.0;0.6452473402023315
13;43810968.0;3947.3017578125;43810972.0;0.6548056602478027;68354752.0;4910.66064453125;68354752.0;0.6444534063339233
14;41262472.0;4019.413818359375;41262472.0;0.6880596876144409;59303572.0;5573.482421875;59303572.0;0.6915330290794373
15;41840916.0;5027.69140625;41840916.0;0.6546030044555664;60006804.0;6050.08203125;60006804.0;0.6878751516342163
16;41309476.0;5091.40966796875;41309476.0;0.6718891263008118;63486216.0;5384.939453125;63486216.0;0.6697770357131958
17;38882896.0;4437.0751953125;38882896.0;0.6816924810409546;65796344.0;5231.318359375;65796344.0;0.6577609777450562
18;40053668.0;4290.41796875;40053668.0;0.6809968948364258;62612692.0;5377.689453125;62612692.0;0.6743206977844238
19;37661264.0;4485.783203125;37661264.0;0.6956048607826233;58691916.0;5810.50537109375;58691916.0;0.6947145462036133
20;39736000.0;5015.07373046875;39736000.0;0.6912117600440979;58123828.0;5694.25830078125;58123828.0;0.6976694464683533
21;37837504.0;4696.83935546875;37837504.0;0.6946492195129395;61386256.0;5068.62841796875;61386256.0;0.6807000041007996
22;38107504.0;3996.90380859375;38107504.0;0.7056076526641846;66142456.0;4878.6103515625;66142456.0;0.6559606790542603
23;39898084.0;3933.09814453125;39898084.0;0.7009404301643372;58867620.0;5033.384765625;58867620.0;0.6938006281852722
24;36788520.0;4065.478271484375;36788520.0;0.7116767168045044;56906692.0;5244.619140625;56906692.0;0.7040004134178162
25;37555508.0;4254.1640625;37555508.0;0.6786667108535767;57023692.0;5112.06005859375;57023692.0;0.7033917903900146
26;36466000.0;4006.10009765625;36466000.0;0.7118781805038452;59705908.0;4858.19580078125;59705908.0;0.6894403100013733
27;36985620.0;3792.5869140625;36985620.0;0.7062087655067444;61010356.0;4823.06201171875;61010356.0;0.6826552152633667
28;37294692.0;3781.949951171875;37294692.0;0.7105525732040405;58089632.0;5001.14794921875;58089632.0;0.697847306728363
29;36781228.0;4032.331787109375;36781228.0;0.7174584865570068;56741320.0;5297.7314453125;56741320.0;0.7048605680465698
30;37395144.0;4299.22900390625;37395144.0;0.6476762294769287;57447876.0;5134.37158203125;57447876.0;0.701185405254364
31;35575508.0;3997.096923828125;35575508.0;0.7140344381332397;62407312.0;4905.890625;62407312.0;0.6753889918327332
32;37889236.0;3843.758056640625;37889236.0;0.7004209756851196;62650928.0;4929.7685546875;62650928.0;0.6741217970848083
33;36848644.0;3947.669921875;36848644.0;0.6982110142707825;57052728.0;5314.2841796875;57052728.0;0.7032408118247986
34;36136980.0;4293.12255859375;36136980.0;0.7078084945678711;56896940.0;5482.5966796875;56896940.0;0.7040510773658752
35;37286072.0;4458.87548828125;37286072.0;0.7152845859527588;57266644.0;5266.107421875;57266644.0;0.7021281123161316
36;35653764.0;4129.77392578125;35653764.0;0.6991009712219238;60731384.0;5005.21875;60731384.0;0.6841062903404236
37;36572236.0;3917.75341796875;36572236.0;0.7151750326156616;60860944.0;4979.07421875;60860944.0;0.683432400226593
38;36052016.0;3908.92431640625;36052016.0;0.716612696647644;57141136.0;5174.201171875;57141136.0;0.7027809619903564
