;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches;test_loss;test_mae;test_mean_squared_error;test_r2_score
0;2865.588;23048618.0;22830562.0;48100;378;4368.37;28545408.0;28477558.0;108;4;32576630.0;4526.458984375;32576630.0;0.8000094294548035
1;2684.7947;20280612.0;20362058.0;48100;378;3208.2603;32567062.0;33598416.0;108;4;30447104.0;3174.701904296875;30447104.0;0.7460832595825195
2;2826.2017;22556878.0;22321668.0;48100;378;4566.2754;37564400.0;38427170.0;108;4;25528780.0;4005.00146484375;25528780.0;0.7875159382820129
3;2733.067;21680022.0;21705348.0;48150;378;4337.161;44277916.0;45655524.0;108;4;28178240.0;3649.589599609375;28178240.0;0.790508508682251
4;2542.3208;19805508.0;19861834.0;48150;379;4035.6987;36854920.0;36490624.0;108;4;28353126.0;3306.806640625;28353126.0;0.7662950158119202
5;2709.545;21601782.0;21613936.0;48100;378;3908.8157;26673398.0;26950596.0;108;4;24548452.0;3643.37841796875;24548452.0;0.8132649064064026
6;2788.4014;22426088.0;22471120.0;48100;378;3767.3867;24924480.0;25131972.0;108;4;29063332.0;3754.557861328125;29063332.0;0.7494409084320068
7;2487.0598;18415500.0;18488122.0;48100;378;3545.1453;28657808.0;29233702.0;108;4;36244036.0;3848.0078125;36244036.0;0.7206370830535889
8;2768.3337;22457248.0;22463340.0;48150;378;4173.7485;32813152.0;32125426.0;108;4;22857810.0;3371.168701171875;22857810.0;0.8036163449287415
9;2805.5225;22491756.0;22592618.0;48150;379;3147.5376;21740700.0;21281692.0;108;4;22877046.0;3136.756591796875;22877046.0;0.8348674774169922
10;2674.0618;21372158.0;21414936.0;48100;378;3676.1792;25670774.0;25978748.0;108;4;27176804.0;3590.14697265625;27176804.0;0.805907130241394
11;2859.7043;23120430.0;23184778.0;48100;378;3723.3647;18476548.0;18734128.0;108;4;26057948.0;3844.5205078125;26057948.0;0.8065916299819946
12;2694.8962;21434374.0;21503710.0;48100;378;3596.7612;23975902.0;24301464.0;108;4;29661078.0;3716.672607421875;29661078.0;0.7526983618736267
13;2723.1736;20595340.0;20621590.0;48150;378;4527.488;42948224.0;43574724.0;108;4;25190456.0;3698.14501953125;25190456.0;0.784656286239624
14;2725.348;22226496.0;22267450.0;48150;379;3670.4277;23691072.0;24029966.0;108;4;26148444.0;3664.59619140625;26148444.0;0.7819132208824158
